month,casual,member,month_name
1,75505486.0,91019972.0,January
2,98475814.0,97339938.0,February
3,104617341.0,99392983.0,March
4,145931787.0,176395448.0,April
5,250936804.0,237526289.0,May
6,358776945.0,301286529.0,June
7,629997165.0,376339431.0,July
8,751378131.0,391652853.0,August
9,400436582.0,308652366.0,September
10,251430444.0,235143147.0,October
11,75303266.0,118184239.0,November
12,62433333.0,94970968.0,December
