end_station_name,end_lat,end_lng,count
Clark St & Chicago Ave,41.8968,-87.6309,9753
Clark St & Columbia Ave,42.0045,-87.6724,1419
Clark St & Drummond Pl,41.9312,-87.6443,16214
Clark St & Elm St,41.903,-87.6313,27886
Clark St & Elmdale Ave,41.9905,-87.6698,2449
Clark St & Grace St,41.9508,-87.6592,7709
Clark St & Ida B Wells Dr,41.8759,-87.6306,11638
Clark St & Jarvis Ave,42.016,-87.675,684
Clark St & Lake St,41.886,-87.6309,15315
Clark St & Leland Ave,41.9671,-87.6674,5625
Clark St & Lincoln Ave,41.9157,-87.6346,20163
Clark St & Lunt Ave,42.0091,-87.6742,3157
Clark St & Montrose Ave,41.9616,-87.666,4316
Clark St & Newport St,41.9445,-87.6547,9202
Clark St & North Ave,41.912,-87.6319,9801
Clark St & Randolph St,41.8846,-87.6319,15706
Clark St & Schiller St,41.908,-87.6315,12453
Clark St & Schreiber Ave,41.9993,-87.6714,1550
Clark St & Touhy Ave,42.0126,-87.6744,453
Clark St & Wellington Ave,41.9365,-87.6475,11809
Clark St & Winnemac Ave,41.9733,-87.6678,8102
Clark St & Wrightwood Ave,41.9295,-87.6431,15997
Clifton Ave & Armitage Ave,41.9182,-87.6569,8260
Clinton St & 18th St,41.858,-87.6408,2680
Clinton St & Jackson Blvd,41.8781,-87.6398,14086
Clinton St & Lake St,41.8856,-87.6418,23657
Clinton St & Madison St,41.8822,-87.6411,47257
Clinton St & Polk St,41.8715,-87.6409,1416
Clinton St & Roosevelt Rd,41.8671,-87.6411,6370
Clinton St & Tilden St,41.8759,-87.6408,6748
Clinton St & Washington Blvd,41.8834,-87.6412,50114
Clybourn Ave & Division St,41.9046,-87.6406,6048
Columbus Dr & Randolph St,41.8847,-87.6195,24348
Commercial Ave & 83rd St,41.7446,-87.5512,83
Conservatory Dr & Lake St,41.8855,-87.7169,841
Cornell Ave & Hyde Park Blvd,41.8024,-87.5869,6018
Cornell Dr & Hayes Dr,41.7806,-87.5848,224
Cottage Grove Ave & 43rd St,41.8165,-87.6066,832
Cottage Grove Ave & 47th St,41.8099,-87.6068,962
Cottage Grove Ave & 51st St,41.803,-87.6066,888
Cottage Grove Ave & 63rd St,41.7806,-87.6061,444
Cottage Grove Ave & 67th St,41.7737,-87.6056,135
Cottage Grove Ave & 71st St,41.7657,-87.605,44
Cottage Grove Ave & 78th St,41.7532,-87.605,69
Cottage Grove Ave & 83rd St,41.7434,-87.6048,110
Cottage Grove Ave & Oakwood Blvd,41.823,-87.6071,944
Daley Center Plaza,41.8842,-87.6296,33387
Damen Ave & 51st St,41.8009,-87.6747,62
Damen Ave & Charleston St,41.9201,-87.6779,4310
Damen Ave & Chicago Ave,41.8958,-87.6772,10199
Damen Ave & Clybourn Ave,41.9319,-87.6779,3796
Damen Ave & Cortland St,41.916,-87.6773,9147
Damen Ave & Coulter St,41.8492,-87.6756,303
Damen Ave & Cullerton St,41.855,-87.6757,1975
Damen Ave & Division St,41.9033,-87.6784,8034
Damen Ave & Foster Ave,41.9756,-87.6795,3773
Damen Ave & Grand Ave,41.8912,-87.6769,4796
Damen Ave & Leland Ave,41.9671,-87.679,5396
