end_station_name,end_lat,end_lng,count
Spaulding Ave & Armitage Ave,41.9171,-87.7102,3644
Spaulding Ave & Division St,41.9027,-87.7092,937
St. Clair St & Erie St,41.8944,-87.6227,25783
St. Louis Ave & Balmoral Ave,41.9804,-87.7161,723
State St & 19th St,41.8566,-87.6275,2890
State St & 29th St,41.8417,-87.6269,679
State St & 33rd St,41.8347,-87.6258,6656
State St & 35th St,41.8309,-87.628,2843
State St & 54th St,41.7966,-87.6259,83
State St & 76th St,41.757,-87.6246,55
State St & 79th St,41.7508,-87.6244,201
State St & Harrison St,41.8741,-87.6277,7686
State St & Kinzie St,41.8892,-87.6278,19660
State St & Pearson St,41.8974,-87.6287,10371
State St & Pershing Rd,41.823,-87.6266,216
State St & Randolph St,41.8847,-87.6277,19405
State St & Van Buren St,41.8772,-87.6278,10172
Stave St & Armitage Ave,41.9177,-87.6914,2598
Stetson Ave & South Water St,41.8868,-87.6223,10832
Stewart Ave & 63rd St (*),41.7798,-87.6348,50
Stockton Dr & Wrightwood Ave,41.9313,-87.6387,11853
Stony Island Ave & 64th St,41.7789,-87.5866,228
Stony Island Ave & 67th St,41.7735,-87.5853,220
Stony Island Ave & 71st St,41.7665,-87.5865,270
Stony Island Ave & 75th St,41.7587,-87.5869,158
Stony Island Ave & 82nd St,41.7466,-87.586,64
Stony Island Ave & South Chicago Ave,41.7512,-87.5853,34
Streeter Dr & Grand Ave,41.8923,-87.612,81799
Talman Ave & Addison St,41.9466,-87.6946,2708
Theater on the Lake,41.9263,-87.6308,36586
Throop (Loomis) St & Taylor St,41.869,-87.6591,4072
Throop St & 52nd St,41.7997,-87.6572,41
Troy St & Elston Ave,41.9452,-87.7067,1972
Troy St & North Ave,41.9098,-87.7053,1643
Union Ave & Root St,41.8191,-87.6433,306
University Ave & 57th St,41.7915,-87.5999,12368
University Library (NU),42.0529,-87.6734,2463
Valli Produce - Evanston Plaza,42.0397,-87.6994,619
Vernon Ave & 75th St,41.7584,-87.6141,175
Vernon Ave & 79th St,41.7509,-87.6138,63
Wabash Ave & 16th St,41.8604,-87.6258,10281
Wabash Ave & 83rd St,41.7433,-87.6228,39
Wabash Ave & 87th St,41.7366,-87.6226,138
Wabash Ave & 9th St,41.8708,-87.6257,12937
Wabash Ave & Adams St,41.8795,-87.6257,11239
Wabash Ave & Cermak Rd,41.8526,-87.6265,3292
Wabash Ave & Grand Ave,41.8915,-87.6268,24704
Wabash Ave & Roosevelt Rd,41.8672,-87.626,22119
Wabash Ave & Wacker Pl,41.8869,-87.626,12276
Wacker Dr & Washington St,41.8831,-87.6373,14528
Wallace St & 35th St,41.8306,-87.6413,1264
Walsh Park,41.9146,-87.668,3212
Warren Park East,42.0046,-87.6807,875
Warren Park West,42.0018,-87.6888,885
Washtenaw Ave & Lawrence Ave,41.969,-87.696,1911
Washtenaw Ave & Ogden Ave,41.8619,-87.6935,884
Wells St & 19th St,41.8568,-87.6339,2252
Wells St & Concord Ln,41.9121,-87.6347,22854
Wells St & Elm St,41.9032,-87.6343,15283
Wells St & Evergreen Ave,41.9067,-87.6348,14491
Wells St & Hubbard St,41.8899,-87.6343,20613
Wells St & Huron St,41.8947,-87.6344,22419
Wells St & Polk St,41.8726,-87.6335,8129
Wells St & Walton St,41.8999,-87.6344,6049
Wentworth Ave & 24th St (Temp),41.8501,-87.6321,1278
Wentworth Ave & 33rd St,41.8345,-87.6318,1605
Wentworth Ave & 35th St,41.8308,-87.6325,1701
Wentworth Ave & 63rd St,41.7801,-87.6297,111
Wentworth Ave & Cermak Rd (Temp),41.853,-87.6306,4863
Western Ave & 21st St,41.8541,-87.6858,1425
Western Ave & 24th St,41.8485,-87.6851,600
Western Ave & 28th St,41.8415,-87.6851,219
Western Ave & Congress Pkwy,41.8747,-87.6864,1874
Western Ave & Division St,41.9029,-87.6873,4504
Western Ave & Fillmore St (*),41.8686,-87.6862,2921
Western Ave & Granville Ave,41.9942,-87.6894,952
Western Ave & Howard St,42.0189,-87.69,751
Western Ave & Leland Ave,41.9665,-87.6884,5747
Western Ave & Lunt Ave,42.0086,-87.6905,1321
Western Ave & Monroe St,41.8798,-87.6861,1896
Western Ave & Roscoe St,41.943,-87.6873,2698
Western Ave & Walton St,41.8984,-87.6866,6250
Western Ave & Winnebago Ave,41.9155,-87.687,8701
Western Blvd & 48th Pl,41.8057,-87.6834,233
Wilton Ave & Belmont Ave,41.9402,-87.653,18872
Wilton Ave & Diversey Pkwy,41.9324,-87.6527,16197
Winchester (Ravenswood) Ave & Balmoral Ave,41.9798,-87.6775,2113
Winchester Ave & Elston Ave,41.9241,-87.6765,3086
Winthrop Ave & Lawrence Ave,41.9688,-87.6577,4272
Wolcott (Ravenswood) Ave & Montrose Ave,41.9614,-87.6762,2940
Wolcott Ave & Fargo Ave,42.017,-87.6777,264
Wolcott Ave & Polk St,41.8713,-87.6737,9022
Wood St & 35th St,41.8301,-87.6703,445
Wood St & Augusta Blvd,41.8992,-87.6722,5253
Wood St & Chicago Ave (*),41.8956,-87.6721,5607
Wood St & Hubbard St,41.8899,-87.6715,4097
Wood St & Milwaukee Ave,41.9077,-87.6726,11153
Wood St & Taylor St,41.8692,-87.671,5706
Woodlawn Ave & 55th St,41.7953,-87.5965,4194
Woodlawn Ave & 75th St,41.7592,-87.5958,44
Woodlawn Ave & Lake Park Ave,41.8141,-87.597,1323
Yates Blvd & 75th St,41.7588,-87.5664,120
