month,casual,member,month_name
1,7742,134977,January
2,12270,125420,February
3,24519,114390,March
4,47744,217566,April
5,81624,285834,May
6,130218,345177,June
7,175632,381683,July
8,186889,403295,August
9,129173,364046,September
10,71035,300751,October
11,18723,158440,November
12,16430,138662,December
