start_station_name,start_lat,start_lng,casual,member
Central Park Ave & North Ave,41.9097,-87.7166,268.0,835.0
Central Park Ave & Ogden Ave,41.8542,-87.7154,95.0,148.0
Central Park Blvd & 5th Ave,41.8757,-87.7155,35.0,53.0
Central St & Girard Ave,42.0643,-87.6862,173.0,954.0
Central St Metra,42.0636,-87.6987,253.0,1231.0
Cherry Ave & Blackhawk St,41.9072,-87.6556,148.0,580.0
Chicago Ave & Dempster St,42.0417,-87.6807,457.0,1411.0
Chicago Ave & Sheridan Rd,42.0505,-87.6778,687.0,1300.0
Chicago Ave & Washington St,42.0326,-87.6791,474.0,2278.0
Christiana Ave & Lawrence Ave,41.9684,-87.7118,272.0,896.0
Cicero Ave & Flournoy St,41.8721,-87.7466,10.0,20.0
Cicero Ave & Lake St,41.8868,-87.7453,30.0,60.0
Cicero Ave & Quincy St,41.8776,-87.7454,35.0,20.0
Cityfront Plaza Dr & Pioneer Ct,41.8906,-87.6221,4027.0,10870.0
Claremont Ave & Hirsch St,41.9078,-87.6859,333.0,3002.0
Clarendon Ave & Gordon Ter,41.9579,-87.6495,1650.0,6194.0
Clarendon Ave & Junior Ter,41.961,-87.6496,1596.0,3748.0
Clarendon Ave & Leland Ave,41.968,-87.65,890.0,2590.0
Clark St & 9th St (AMLI),41.8708,-87.6312,772.0,3763.0
Clark St & Armitage Ave,41.9183,-87.6363,6703.0,15194.0
Clark St & Berwyn Ave,41.978,-87.668,1445.0,5562.0
Clark St & Bryn Mawr Ave,41.9836,-87.6692,670.0,3497.0
Clark St & Chicago Ave,41.8968,-87.6309,1935.0,8539.0
Clark St & Columbia Ave,42.0045,-87.6724,144.0,1319.0
Clark St & Drummond Pl,41.9312,-87.6443,3125.0,10085.0
Clark St & Elm St,41.903,-87.6313,4290.0,22164.0
Clark St & Elmdale Ave,41.9905,-87.6698,390.0,2008.0
Clark St & Grace St,41.9508,-87.6592,2334.0,5706.0
Clark St & Ida B Wells Dr,41.8759,-87.6306,960.0,11057.0
Clark St & Jarvis Ave,42.016,-87.675,140.0,583.0
Clark St & Lake St,41.886,-87.6309,2342.0,13497.0
Clark St & Leland Ave,41.9671,-87.6674,715.0,4838.0
Clark St & Lincoln Ave,41.9157,-87.6346,6808.0,13130.0
Clark St & Lunt Ave,42.0091,-87.6742,373.0,2493.0
Clark St & Montrose Ave,41.9616,-87.666,583.0,3895.0
Clark St & Newport St,41.9445,-87.6547,2850.0,6380.0
Clark St & North Ave,41.912,-87.6319,3656.0,5870.0
Clark St & Randolph St,41.8846,-87.6319,2368.0,13638.0
Clark St & Schiller St,41.908,-87.6315,2447.0,11568.0
Clark St & Schreiber Ave,41.9993,-87.6714,286.0,1163.0
Clark St & Touhy Ave,42.0126,-87.6744,51.0,386.0
Clark St & Wellington Ave,41.9365,-87.6475,2124.0,9317.0
Clark St & Winnemac Ave,41.9733,-87.6678,1234.0,6849.0
Clark St & Wrightwood Ave,41.9295,-87.6431,3197.0,12459.0
Clifton Ave & Armitage Ave,41.9182,-87.6569,1347.0,6719.0
Clinton St & 18th St,41.858,-87.6408,405.0,2207.0
Clinton St & Jackson Blvd,41.8781,-87.6398,1251.0,12962.0
Clinton St & Lake St,41.8856,-87.6418,1931.0,21917.0
Clinton St & Madison St,41.8822,-87.6411,3949.0,46142.0
Clinton St & Polk St,41.8715,-87.6409,255.0,1105.0
Clinton St & Roosevelt Rd,41.8671,-87.6411,1203.0,4687.0
Clinton St & Tilden St,41.8759,-87.6408,526.0,6437.0
Clinton St & Washington Blvd,41.8834,-87.6412,2803.0,43553.0
Clybourn Ave & Division St,41.9046,-87.6406,574.0,5523.0
Columbus Dr & Randolph St,41.8847,-87.6195,7908.0,31005.0
Commercial Ave & 83rd St,41.7446,-87.5512,25.0,28.0
Conservatory Dr & Lake St,41.8855,-87.7169,258.0,461.0
Cornell Ave & Hyde Park Blvd,41.8024,-87.5869,1773.0,4497.0
Cornell Dr & Hayes Dr,41.7806,-87.5848,120.0,109.0
Cottage Grove Ave & 43rd St,41.8165,-87.6066,169.0,640.0
Cottage Grove Ave & 47th St,41.8099,-87.6068,260.0,726.0
Cottage Grove Ave & 51st St,41.803,-87.6066,217.0,732.0
Cottage Grove Ave & 63rd St,41.7806,-87.6061,111.0,299.0
Cottage Grove Ave & 67th St,41.7737,-87.6056,34.0,97.0
Cottage Grove Ave & 71st St,41.7657,-87.605,27.0,22.0
Cottage Grove Ave & 78th St,41.7532,-87.605,31.0,47.0
Cottage Grove Ave & 83rd St,41.7434,-87.6048,79.0,30.0
Cottage Grove Ave & Oakwood Blvd,41.823,-87.6071,409.0,386.0
Daley Center Plaza,41.8842,-87.6296,3550.0,30585.0
Damen Ave & 51st St,41.8009,-87.6747,20.0,40.0
Damen Ave & Charleston St,41.9201,-87.6779,920.0,3510.0
Damen Ave & Chicago Ave,41.8958,-87.6772,1348.0,8000.0
Damen Ave & Clybourn Ave,41.9319,-87.6779,562.0,2862.0
Damen Ave & Cortland St,41.916,-87.6773,2089.0,7082.0
Damen Ave & Coulter St,41.8492,-87.6756,53.0,178.0
Damen Ave & Cullerton St,41.855,-87.6757,502.0,1274.0
Damen Ave & Division St,41.9033,-87.6784,1128.0,6862.0
Damen Ave & Foster Ave,41.9756,-87.6795,520.0,3251.0
Damen Ave & Grand Ave,41.8912,-87.6769,695.0,3941.0
Damen Ave & Leland Ave,41.9671,-87.679,721.0,4977.0
Damen Ave & Madison St,41.8814,-87.6749,750.0,1373.0
Damen Ave & Melrose Ave,41.9406,-87.6785,568.0,1837.0
Damen Ave & Pershing Rd,41.8232,-87.6766,107.0,49.0
Damen Ave & Pierce Ave,41.9094,-87.6777,4154.0,15722.0
Damen Ave & Sunnyside Ave,41.9633,-87.6793,413.0,2035.0
Damen Ave & Thomas St (Augusta Blvd),41.9013,-87.6774,888.0,5519.0
Damen Ave & Walnut (Lake) St (*),41.886,-87.677,224.0,1676.0
Damen Ave & Wellington Ave,41.9359,-87.6784,671.0,2942.0
Dayton St & North Ave,41.9106,-87.6494,1612.0,8256.0
Dearborn Pkwy & Delaware Pl,41.899,-87.6299,2832.0,14230.0
Dearborn St & Adams St,41.8794,-87.6298,1751.0,10270.0
Dearborn St & Erie St,41.894,-87.6293,4114.0,20663.0
Dearborn St & Monroe St,41.8813,-87.6295,2416.0,17886.0
Dearborn St & Van Buren St,41.8763,-87.6292,899.0,3896.0
Delano Ct & Roosevelt Rd,41.8675,-87.6322,1431.0,5166.0
Desplaines St & Jackson Blvd,41.8783,-87.6439,1368.0,12994.0
Desplaines St & Kinzie St,41.8887,-87.6444,2657.0,19821.0
Desplaines St & Randolph St,41.8846,-87.6446,1762.0,9876.0
Dodge Ave & Church St,42.0483,-87.6982,207.0,771.0
Dodge Ave & Mulford St,42.0235,-87.6996,114.0,239.0
Dorchester Ave & 49th St,41.8058,-87.5925,149.0,592.0
Dorchester Ave & 63rd St,41.7804,-87.5914,211.0,266.0
Drake Ave & Addison St,41.9473,-87.7176,211.0,1423.0
Drake Ave & Fullerton Ave,41.9244,-87.7154,504.0,1874.0
Drake Ave & Montrose Ave,41.9612,-87.7166,216.0,785.0
DuSable Museum,41.7916,-87.6079,211.0,381.0
Dusable Harbor,41.887,-87.6128,12694.0,4771.0
Eastlake Ter & Rogers Ave,42.0209,-87.6651,363.0,1819.0
Eberhart Ave & 61st St,41.7841,-87.6133,90.0,77.0
Eckhart Park,41.8964,-87.661,805.0,5532.0
Eggleston Ave & 69th St (*),41.7689,-87.6359,8.0,29.0
Elizabeth (May) St & Fulton St,41.8866,-87.658,417.0,3723.0
Elizabeth St & 47th St,41.8084,-87.6565,7.0,68.0
Elizabeth St & 59th St,41.7867,-87.6559,,10.0
Ellis Ave & 53rd St,41.7993,-87.601,533.0,3811.0
Ellis Ave & 55th St,41.7943,-87.6015,1206.0,7697.0
Ellis Ave & 58th St,41.7887,-87.6013,691.0,5056.0
Ellis Ave & 60th St,41.7851,-87.6011,1328.0,6457.0
Ellis Ave & 83rd St,41.7441,-87.599,27.0,31.0
Elmwood Ave & Austin St,42.0258,-87.6841,167.0,794.0
Elston Ave & Wabansia Ave,41.9129,-87.6642,444.0,2211.0
Emerald Ave & 28th St,41.8436,-87.6454,204.0,1929.0
Emerald Ave & 31st St,41.8382,-87.6451,280.0,3121.0
Evans Ave & 75th St,41.7585,-87.6064,15.0,41.0
Evanston Civic Center,42.057,-87.6866,181.0,277.0
Exchange Ave & 79th St,41.7517,-87.5528,20.0,21.0
Fairbanks Ct & Grand Ave,41.8918,-87.6206,5197.0,15464.0
Fairbanks St & Superior St,41.8957,-87.6201,975.0,3979.0
Fairfield Ave & Roosevelt Rd,41.8666,-87.6945,162.0,222.0
Federal St & Polk St,41.8721,-87.6295,2096.0,10145.0
Field Blvd & South Water St,41.8863,-87.6175,3150.0,7350.0
Field Museum,41.8653,-87.6179,7647.0,2423.0
Financial Pl & Ida B Wells Dr,41.875,-87.6331,702.0,5193.0
Fort Dearborn Dr & 31st St,41.8386,-87.6082,4011.0,3547.0
Francisco Ave & Foster Ave,41.9756,-87.7014,325.0,1177.0
Franklin St & Adams St (Temp),41.8794,-87.6355,1233.0,6006.0
Franklin St & Chicago Ave,41.8967,-87.6357,812.0,8191.0
Franklin St & Illinois St,41.891,-87.6355,672.0,4623.0
Franklin St & Jackson Blvd,41.8777,-87.6353,3203.0,16782.0
Franklin St & Lake St,41.8858,-87.6355,1767.0,13768.0
Franklin St & Monroe St,41.8803,-87.6352,3510.0,30945.0
Glenwood Ave & Morse Ave,42.008,-87.6655,600.0,2342.0
Glenwood Ave & Touhy Ave,42.0127,-87.6661,217.0,917.0
Green St & Madison St,41.8819,-87.6488,2381.0,13863.0
Green St & Randolph St,41.8837,-87.6487,3108.0,11031.0
Greenview Ave & Diversey Pkwy,41.9326,-87.6659,874.0,3418.0
Greenview Ave & Fullerton Ave,41.9253,-87.6658,1602.0,5746.0
Greenview Ave & Jarvis Ave,42.016,-87.6686,355.0,1506.0
Greenwood Ave & 47th St,41.8098,-87.5994,416.0,1126.0
Greenwood Ave & 79th St,41.7513,-87.5976,21.0,106.0
HQ QR,41.8899,-87.6803,5.0,
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),41.89,-87.6807,,19.0
Halsted St & 18th St,41.8575,-87.6463,320.0,1995.0
Halsted St & 21st St,41.8538,-87.6466,438.0,1056.0
Halsted St & 35th St,41.8307,-87.6472,168.0,696.0
Halsted St & 37th St,41.8271,-87.6457,69.0,686.0
Halsted St & 47th Pl,41.8081,-87.6456,18.0,231.0
Halsted St & 51st St,41.8018,-87.6452,18.0,13.0
Halsted St & 56th St,41.7929,-87.645,23.0,51.0
Halsted St & 59th St,41.7875,-87.6449,16.0,22.0
Halsted St & 63rd St,41.7794,-87.6446,25.0,153.0
Halsted St & 69th St,41.7691,-87.6446,37.0,42.0
Halsted St & Archer Ave,41.8472,-87.6468,325.0,1660.0
Halsted St & Clybourn Ave,41.9097,-87.6481,1524.0,10287.0
Halsted St & Dickens Ave,41.9199,-87.6488,2052.0,8876.0
Halsted St & Maxwell St,41.8649,-87.6471,985.0,6050.0
Halsted St & North Branch St,41.8994,-87.6485,270.0,1635.0
Halsted St & Polk St,41.8718,-87.6466,840.0,7516.0
Halsted St & Roosevelt Rd,41.8673,-87.6486,667.0,5971.0
Halsted St & Roscoe St,41.9437,-87.649,2641.0,8053.0
Halsted St & Willow St,41.9139,-87.6488,1213.0,6395.0
Halsted St & Wrightwood Ave,41.9291,-87.6491,1585.0,8150.0
Harper Ave & 59th St,41.7879,-87.5883,537.0,2769.0
Hermitage Ave & Polk St,41.8715,-87.6699,315.0,4559.0
Honore St & Division St,41.9031,-87.6739,1582.0,6858.0
Hoyne Ave & 47th St,41.8082,-87.6772,37.0,152.0
Hoyne Ave & Balmoral Ave,41.9799,-87.6819,339.0,1362.0
Humboldt Blvd & Armitage Ave,41.9175,-87.7018,964.0,2869.0
Indiana Ave & 26th St,41.8457,-87.6225,452.0,1969.0
Indiana Ave & 31st St,41.8388,-87.6219,409.0,2576.0
Indiana Ave & 40th St,41.8217,-87.6216,116.0,278.0
Indiana Ave & Roosevelt Rd,41.8679,-87.623,8224.0,13539.0
Jefferson St & Monroe St,41.8804,-87.6427,897.0,7881.0
Jeffery Blvd & 67th St,41.7735,-87.5771,319.0,87.0
Jeffery Blvd & 71st St,41.7666,-87.5764,77.0,153.0
Jeffery Blvd & 76th St,41.7571,-87.5758,43.0,82.0
Karlov Ave & Madison St,41.8809,-87.7279,27.0,83.0
Kedzie Ave & 21st St,41.8535,-87.7051,76.0,355.0
Kedzie Ave & 24th St,41.8482,-87.7054,32.0,82.0
Kedzie Ave & Bryn Mawr Ave,41.9824,-87.7089,255.0,325.0
Kedzie Ave & Chicago Ave,41.8955,-87.7061,146.0,544.0
Kedzie Ave & Foster Ave,41.9757,-87.7093,201.0,764.0
Kedzie Ave & Harrison St,41.8736,-87.7049,36.0,120.0
Kedzie Ave & Lake St,41.8846,-87.7063,168.0,645.0
Kedzie Ave & Leland Ave,41.9667,-87.7081,289.0,967.0
Kedzie Ave & Milwaukee Ave,41.9296,-87.7079,2409.0,6680.0
Kedzie Ave & Palmer Ct,41.9215,-87.7073,637.0,3270.0
Kedzie Ave & Roosevelt Rd,41.8665,-87.7065,67.0,141.0
Kenton Ave & Madison St,41.8807,-87.741,21.0,33.0
Keystone Ave & Fullerton Ave,41.9246,-87.7279,199.0,607.0
Keystone Ave & Montrose Ave,41.9611,-87.729,124.0,466.0
Kilbourn Ave & Irving Park Rd,41.9537,-87.7406,64.0,422.0
Kilbourn Ave & Milwaukee Ave,41.9488,-87.74,186.0,480.0
Kildare Ave & Montrose Ave,41.9611,-87.7357,154.0,278.0
Kimball Ave & Belmont Ave,41.9394,-87.7116,409.0,1294.0
