day_of_week,trip_duration
Friday,1453.5391959125643
Monday,1297.8441667768216
Saturday,1965.6080367541604
Sunday,1996.359138246496
Thursday,1325.5668328147601
Tuesday,1245.959160651705
Wednesday,1276.7094085504032
