end_station_name,end_lat,end_lng,casual,member
Kildare Ave & Montrose Ave,41.9611,-87.7357,120,297
Cottage Grove Ave & 63rd St,41.7806,-87.6061,137,307
Budlong Woods Library,41.9837,-87.6964,203,310
South Shore Dr & 67th St,41.7736,-87.5675,394,314
Oakley Ave & Touhy Ave,42.0123,-87.6882,166,317
Evanston Civic Center,42.057,-87.6866,140,331
Bosworth Ave & Howard St,42.0195,-87.6696,118,338
Ridge Blvd & Howard St,42.0193,-87.6845,110,346
Ashland Ave & Pershing Rd,41.8235,-87.6656,58,348
Wood St & 35th St,41.8301,-87.6703,89,356
Clark St & Touhy Ave,42.0126,-87.6744,95,358
Ashland Ave & Archer Ave,41.8392,-87.6656,154,382
Leavitt St & Archer Ave,41.8288,-87.6806,205,385
Archer (Damen) Ave & 37th St,41.8267,-87.6831,136,393
DuSable Museum,41.7916,-87.6079,146,395
Cottage Grove Ave & Oakwood Blvd,41.823,-87.6071,542,402
Prairie Ave & 43rd St,41.8167,-87.6194,313,419
Milwaukee Ave & Cuyler Ave,41.9545,-87.7496,137,425
Princeton Ave & Garfield Blvd,41.795,-87.6331,65,440
Kilbourn Ave & Irving Park Rd,41.9537,-87.7406,110,440
Knox Ave & Montrose Ave,41.9606,-87.7454,130,459
Valli Produce - Evanston Plaza,42.0397,-87.6994,152,467
Keystone Ave & Montrose Ave,41.9611,-87.729,169,476
63rd St Beach,41.781,-87.5761,688,489
Western Ave & 24th St,41.8485,-87.6851,105,495
2112 W Peterson Ave,41.9912,-87.6836,114,500
State St & 29th St,41.8417,-87.6269,177,502
Ashland Ave & McDowell Ave,41.8089,-87.6645,65,512
Calumet Ave & 51st St,41.8023,-87.6181,175,516
Conservatory Dr & Lake St,41.8855,-87.7169,297,544
Sacramento Blvd & Franklin Blvd,41.8905,-87.7026,26,545
St. Louis Ave & Balmoral Ave,41.9804,-87.7161,174,549
Warren Park West,42.0018,-87.6888,334,551
Clark St & Jarvis Ave,42.016,-87.675,127,557
South Shore Dr & 71st St,41.7664,-87.5657,373,569
Kedzie Ave & Bryn Mawr Ave,41.9824,-87.7089,187,572
Bernard St & Elston Ave,41.9499,-87.7139,105,573
Western Ave & Howard St,42.0189,-87.69,178,573
Pulaski Rd & Eddy St (Temp),41.9463,-87.731,170,587
Kilbourn Ave & Milwaukee Ave,41.9488,-87.74,171,594
Ridge Blvd & Touhy Ave,42.0121,-87.6829,186,611
Washtenaw Ave & Ogden Ave,41.8619,-87.6935,265,619
Halsted St & 37th St,41.8271,-87.6457,150,626
Dorchester Ave & 49th St,41.8058,-87.5925,191,626
Kedzie Ave & Chicago Ave,41.8955,-87.7061,228,656
Cottage Grove Ave & 51st St,41.803,-87.6066,218,670
Dodge Ave & Church St,42.0483,-87.6982,182,676
Cherry Ave & Blackhawk St,41.9072,-87.6556,111,677
Spaulding Ave & Division St,41.9027,-87.7092,260,677
California Ave & Lake St,41.8845,-87.6963,127,678
Warren Park East,42.0046,-87.6807,194,681
Keystone Ave & Fullerton Ave,41.9246,-87.7279,233,695
Cottage Grove Ave & 43rd St,41.8165,-87.6066,130,702
Western Ave & Granville Ave,41.9942,-87.6894,241,711
Cottage Grove Ave & 47th St,41.8099,-87.6068,249,713
Halsted St & 35th St,41.8307,-87.6472,221,718
Lincolnwood Dr & Central St,42.0649,-87.7153,174,728
Kedzie Ave & Lake St,41.8846,-87.7063,159,729
Racine Ave & 35th St,41.8307,-87.656,152,747
Central St & Girard Ave,42.0643,-87.6862,267,771
California Ave & Francis Pl (Temp),41.9185,-87.6974,101,777
Sawyer Ave & Irving Park Rd,41.9536,-87.7093,260,781
Kedzie Ave & Foster Ave,41.9757,-87.7093,177,788
Elmwood Ave & Austin St,42.0258,-87.6841,146,791
California Ave & 23rd Pl,41.8491,-87.6951,69,800
Monticello Ave & Irving Park Rd,41.954,-87.7191,259,815
Glenwood Ave & Touhy Ave,42.0127,-87.6661,206,835
Drake Ave & Montrose Ave,41.9612,-87.7166,255,844
California Ave & 21st St,41.8538,-87.6957,198,852
Calumet Ave & 35th St,41.8314,-87.618,241,861
Shields Ave & 28th Pl,41.8427,-87.6355,141,862
Central Park Ave & North Ave,41.9097,-87.7166,268,863
MLK Jr Dr & Pershing Rd,41.8246,-87.6168,206,881
Avers Ave & Belmont Ave,41.9394,-87.7236,355,881
Wentworth Ave & 24th St (Temp),41.8501,-87.6321,397,881
Racine Ave & 13th St,41.8651,-87.657,190,900
California Ave & Byron St,41.9522,-87.6981,338,917
Smith Park (*),41.892,-87.6894,298,919
Albany Ave & Montrose Ave,41.961,-87.7059,241,946
Normal Ave & Archer Ave,41.8495,-87.6406,200,990
Woodlawn Ave & Lake Park Ave,41.8141,-87.597,312,1011
Museum of Science and Industry,41.7917,-87.5839,2587,1017
Wallace St & 35th St,41.8306,-87.6413,235,1029
Christiana Ave & Lawrence Ave,41.9684,-87.7118,316,1039
Central Park Ave & Bloomingdale Ave,41.9142,-87.7168,1079,1073
Prairie Ave & Garfield Blvd,41.7949,-87.6187,225,1078
Sheridan Rd & Greenleaf Ave,42.0106,-87.6624,483,1086
Kedzie Ave & Leland Ave,41.9667,-87.7081,318,1090
Malcolm X College,41.8776,-87.6739,280,1094
Greenwood Ave & 47th St,41.8098,-87.5994,338,1098
Western Ave & Lunt Ave,42.0086,-87.6905,220,1101
Manor Ave & Leland Ave,41.9659,-87.7008,169,1117
Troy St & North Ave,41.9098,-87.7053,498,1145
Halsted St & 21st St,41.8538,-87.6466,368,1154
Francisco Ave & Foster Ave,41.9756,-87.7014,338,1176
Kimball Ave & Belmont Ave,41.9394,-87.7116,392,1187
Loomis St & Archer Ave,41.8416,-87.6574,158,1189
Clinton St & Polk St,41.8715,-87.6409,220,1196
Western Ave & 21st St,41.8541,-87.6858,194,1231
Ogden Ave & Congress Pkwy,41.875,-87.6733,60,1234
Chicago Ave & Sheridan Rd,42.0505,-87.6778,815,1235
Drake Ave & Addison St,41.9473,-87.7176,205,1258
Central Park Ave & Elbridge Ave,41.9353,-87.7169,261,1262
Clark St & Schreiber Ave,41.9993,-87.6714,286,1264
Clark St & Columbia Ave,42.0045,-87.6724,153,1266
Damen Ave & Madison St,41.8814,-87.6749,712,1274
Wentworth Ave & 35th St,41.8308,-87.6325,381,1320
Hoyne Ave & Balmoral Ave,41.9799,-87.6819,372,1333
Wentworth Ave & 33rd St,41.8345,-87.6318,262,1343
Central St Metra,42.0636,-87.6987,238,1355
Damen Ave & Cullerton St,41.855,-87.6757,594,1381
Wells St & 19th St,41.8568,-87.6339,848,1404
Ogden Ave & Roosevelt Rd,41.8665,-87.6847,171,1407
Leavitt St & Addison St,41.9467,-87.6834,366,1409
Lake Park Ave & 47th St,41.8094,-87.5919,825,1413
Lincoln Ave & Winona St,41.9749,-87.6925,362,1417
Chicago Ave & Dempster St,42.0417,-87.6807,473,1419
Lake Park Ave & 35th St,41.8313,-87.6088,1269,1424
Avondale Ave & Irving Park Rd,41.9534,-87.732,285,1429
Sheridan Rd & Columbia Ave,42.0046,-87.6614,477,1462
Western Ave & Congress Pkwy,41.8747,-87.6864,409,1465
Leavitt St & Belmont Ave (*),41.9394,-87.6833,422,1472
Rhodes Ave & 32nd St,41.8362,-87.6135,441,1474
Halsted St & North Branch St,41.8994,-87.6485,158,1500
Morgan St & 31st St,41.8378,-87.6511,404,1512
Greenview Ave & Jarvis Ave,42.016,-87.6686,320,1522
Troy St & Elston Ave,41.9452,-87.7067,420,1552
California Ave & Division St,41.903,-87.6975,781,1572
May St & Cullerton St,41.8551,-87.6541,319,1579
California Ave & Montrose Ave,41.9611,-87.6954,484,1585
Halsted St & Archer Ave,41.8472,-87.6468,288,1587
Western Ave & Monroe St,41.8798,-87.6861,302,1594
Racine Ave & 15th St,41.8613,-87.6566,333,1601
Washtenaw Ave & Lawrence Ave,41.969,-87.696,270,1641
Oakley Ave & Irving Park Rd,41.9543,-87.6861,392,1667
California Ave & Fletcher St,41.9384,-87.698,629,1678
Kosciuszko Park,41.9306,-87.7238,375,1711
Shields Ave & 31st St,41.8385,-87.6354,215,1738
Eastlake Ter & Rogers Ave,42.0209,-87.6651,315,1771
McCormick Place,41.8514,-87.6188,3497,1838
Richmond St & Diversey Ave,41.9319,-87.7012,551,1841
Rockwell St & Eastwood Ave,41.9659,-87.6936,276,1842
Winchester (Ravenswood) Ave & Balmoral Ave,41.9798,-87.6775,270,1843
Indiana Ave & 26th St,41.8457,-87.6225,495,1874
Damen Ave & Walnut (Lake) St (*),41.886,-87.677,324,1889
Drake Ave & Fullerton Ave,41.9244,-87.7154,709,1897
Emerald Ave & 28th St,41.8436,-87.6454,225,1927
University Library (NU),42.0529,-87.6734,524,1939
Lincoln Park Conservatory,41.9239,-87.6358,2153,1971
Leavitt St & Lawrence Ave,41.9689,-87.684,307,2021
Damen Ave & Melrose Ave,41.9406,-87.6785,571,2035
Halsted St & 18th St,41.8575,-87.6463,419,2038
Clark St & Elmdale Ave,41.9905,-87.6698,394,2055
Paulina St & Montrose Ave,41.9615,-87.6714,425,2135
California Ave & Altgeld St,41.9267,-87.6977,549,2145
Stave St & Armitage Ave,41.9177,-87.6914,452,2146
Calumet Ave & 21st St,41.8542,-87.6192,2068,2169
Damen Ave & Sunnyside Ave,41.9633,-87.6793,412,2190
State St & 19th St,41.8566,-87.6275,692,2198
Walsh Park,41.9146,-87.668,1013,2199
Campbell Ave & Fullerton Ave,41.9246,-87.6893,552,2230
Lincoln Ave & Addison St,41.9462,-87.6733,433,2260
Campbell Ave & Montrose Ave,41.9615,-87.6912,223,2281
Elston Ave & Wabansia Ave,41.9129,-87.6642,464,2299
Talman Ave & Addison St,41.9466,-87.6946,405,2303
Ashland Ave & Belle Plaine Ave,41.9561,-87.6688,429,2310
Clinton St & 18th St,41.858,-87.6408,359,2321
Ashland Ave & 13th St,41.8652,-87.6665,151,2331
Chicago Ave & Washington St,42.0326,-87.6791,603,2333
Southport Ave & Clark St,41.9571,-87.6642,303,2346
Western Ave & Roscoe St,41.943,-87.6873,349,2349
Paulina St & Howard St,42.0192,-87.6736,341,2353
Buckingham Fountain,41.8765,-87.6205,2944,2364
Field Museum,41.8653,-87.6179,5299,2382
Wabash Ave & Cermak Rd,41.8526,-87.6265,844,2448
Winchester Ave & Elston Ave,41.9241,-87.6765,636,2450
Glenwood Ave & Morse Ave,42.008,-87.6655,534,2474
State St & 35th St,41.8309,-87.628,350,2493
Ravenswood Ave & Berteau Ave,41.9579,-87.6736,355,2508
Wolcott (Ravenswood) Ave & Montrose Ave,41.9614,-87.6762,417,2523
Leavitt St & Division St (*),41.903,-87.6838,279,2525
Sheridan Rd & Noyes St (NU),42.0582,-87.6774,630,2529
Indiana Ave & 31st St,41.8388,-87.6219,390,2603
Orleans St & Elm St,41.9029,-87.6377,415,2611
Western Ave & Fillmore St (*),41.8686,-87.6862,256,2665
California Ave & North Ave,41.9104,-87.6972,701,2684
Clarendon Ave & Leland Ave,41.968,-87.65,930,2690
Blackstone Ave & Hyde Park Blvd,41.8026,-87.5904,709,2692
Harper Ave & 59th St,41.7879,-87.5883,484,2697
Canal St & Harrison St,41.8743,-87.6396,354,2715
Calumet Ave & 33rd St,41.8349,-87.6179,314,2782
