end_station_name,end_lat,end_lng,casual,member
Halsted St & Wrightwood Ave,41.9291,-87.6491,1616,8064
Larrabee St & Division St,41.9035,-87.6434,1202,8095
Lake Shore Dr & Belmont Ave,41.9408,-87.6392,6026,8140
Clark St & Chicago Ave,41.8968,-87.6309,1605,8148
Halsted St & Roscoe St,41.9437,-87.649,2827,8163
State St & Van Buren St,41.8772,-87.6278,1958,8214
Stetson Ave & South Water St,41.8868,-87.6223,2570,8262
Southport Ave & Wellington Ave,41.9357,-87.6636,1627,8266
Lake Shore Dr & Diversey Pkwy,41.9326,-87.6364,4551,8267
Lincoln Ave & Roscoe St,41.9433,-87.671,1306,8280
State St & Pearson St,41.8974,-87.6287,2053,8318
Milwaukee Ave & Wabansia Ave,41.9126,-87.6814,2085,8347
Dayton St & North Ave,41.9106,-87.6494,1608,8348
Sheffield Ave & Willow St,41.9137,-87.6529,1249,8368
Racine Ave & Fullerton Ave,41.9256,-87.6584,1276,8440
Stockton Dr & Wrightwood Ave,41.9313,-87.6387,3373,8480
Michigan Ave & 18th St,41.8578,-87.6246,1537,8493
Michigan Ave & Jackson Blvd,41.8779,-87.6241,6835,8520
Wolcott Ave & Polk St,41.8713,-87.6737,464,8558
Broadway & Belmont Ave,41.9401,-87.6455,3179,8559
Michigan Ave & Madison St,41.8821,-87.6251,2724,8615
Ogden Ave & Chicago Ave,41.8964,-87.6541,1397,8683
Damen Ave & Chicago Ave,41.8958,-87.6772,1471,8728
Aberdeen St & Monroe St,41.8804,-87.6555,946,8772
Burling St (Halsted) & Diversey Pkwy (Temp),41.9331,-87.6478,1507,8784
Wabash Ave & Adams St,41.8795,-87.6257,2417,8822
Mies van der Rohe Way & Chicago Ave,41.8969,-87.6217,3690,8831
Wabash Ave & 16th St,41.8604,-87.6258,1425,8856
Lake Shore Dr & Wellington Ave,41.9367,-87.6368,4456,8949
Canal St & Jackson Blvd,41.8772,-87.6394,1126,8977
Wood St & Milwaukee Ave,41.9077,-87.6726,2056,9097
Aberdeen St & Randolph St,41.8841,-87.6543,1467,9144
Mies van der Rohe Way & Chestnut St,41.8986,-87.6219,4293,9211
Rush St & Cedar St,41.9023,-87.6277,3903,9281
Cityfront Plaza Dr & Pioneer Ct,41.8906,-87.6221,3787,9292
Sedgwick St & Webster Ave,41.9222,-87.6389,2599,9405
Pine Grove Ave & Waveland Ave,41.9493,-87.6463,3140,9406
Desplaines St & Randolph St,41.8846,-87.6446,1410,9417
LaSalle St & Washington St,41.8827,-87.6325,1167,9438
Southport Ave & Waveland Ave,41.9482,-87.6639,2208,9554
Dearborn St & Adams St,41.8794,-87.6298,1773,9590
Sheffield Ave & Waveland Ave,41.9494,-87.6545,5665,9618
Halsted St & Dickens Ave,41.9199,-87.6488,2027,9619
Broadway & Cornelia Ave,41.9455,-87.6464,3002,9688
Broadway & Waveland Ave,41.9491,-87.6486,2043,9689
Clark St & Wellington Ave,41.9365,-87.6475,2068,9741
Sheffield Ave & Webster Ave,41.9215,-87.6538,2121,10107
Clark St & Schiller St,41.908,-87.6315,2180,10273
Lake Shore Dr & Monroe St,41.881,-87.6167,31050,10283
Lakeview Ave & Fullerton Pkwy,41.9259,-87.639,5114,10305
Wabash Ave & 9th St,41.8708,-87.6257,2605,10332
Halsted St & Clybourn Ave,41.9097,-87.6481,1590,10367
Larrabee St & Webster Ave,41.9218,-87.6441,2826,10415
Federal St & Polk St,41.8721,-87.6295,1837,10497
Sheridan Rd & Irving Park Rd,41.9542,-87.6544,1724,10791
University Ave & 57th St,41.7915,-87.5999,1557,10811
Clark St & Ida B Wells Dr,41.8759,-87.6306,743,10895
Aberdeen St & Jackson Blvd,41.8777,-87.6548,1245,10903
Rush St & Superior St,41.8958,-87.6259,3032,11060
Sheffield Ave & Kingsbury St,41.9105,-87.6531,1615,11140
Rush St & Hubbard St,41.8902,-87.6262,1852,11161
Sheffield Ave & Wellington Ave,41.9363,-87.6527,2276,11312
Southport Ave & Roscoe St,41.9437,-87.664,2702,11441
Sedgwick St & North Ave,41.9114,-87.6387,2225,11468
Wells St & Evergreen Ave,41.9067,-87.6348,3002,11489
Peoria St & Jackson Blvd,41.8776,-87.6496,1500,11645
Lincoln Ave & Fullerton Ave,41.9259,-87.6493,2893,11705
Green St & Randolph St,41.8837,-87.6487,3347,12003
Marshfield Ave & Cortland St,41.916,-87.6689,1806,12268
Morgan St & Polk St,41.8717,-87.651,909,12352
Franklin St & Lake St,41.8858,-87.6355,1743,12389
McClurg Ct & Erie St,41.8945,-87.6179,2717,12514
Millennium Park,41.881,-87.6241,25507,12549
Clark St & Wrightwood Ave,41.9295,-87.6431,3340,12657
Clark St & Lake St,41.886,-87.6309,2656,12659
Sedgwick St & Huron St,41.8947,-87.6384,1172,12692
Loomis St & Lexington St,41.8722,-87.6615,908,12703
Milwaukee Ave & Grand Ave,41.8916,-87.6484,1673,12726
Desplaines St & Jackson Blvd,41.8783,-87.6439,1121,12741
Clinton St & Jackson Blvd,41.8781,-87.6398,1322,12764
Clark St & Drummond Pl,41.9312,-87.6443,3399,12815
Wells St & Elm St,41.9032,-87.6343,2259,13024
Clark St & Lincoln Ave,41.9157,-87.6346,6890,13273
Indiana Ave & Roosevelt Rd,41.8679,-87.623,7726,13453
Wacker Dr & Washington St,41.8831,-87.6373,1063,13465
Ravenswood Ave & Lawrence Ave,41.9691,-87.6742,1337,13603
Bissell St & Armitage Ave,41.9184,-87.6522,2847,13608
Clark St & Randolph St,41.8846,-87.6319,2066,13640
McClurg Ct & Illinois St,41.8904,-87.6175,6277,13891
Wilton Ave & Diversey Pkwy,41.9324,-87.6527,2253,13944
Streeter Dr & Grand Ave,41.8923,-87.612,67499,14300
Michigan Ave & Oak St,41.901,-87.6238,23980,14384
Sheffield Ave & Fullerton Ave,41.9256,-87.6537,2769,14863
Wilton Ave & Belmont Ave,41.9402,-87.653,3951,14921
Fairbanks Ct & Grand Ave,41.8918,-87.6206,5966,14967
Dearborn Pkwy & Delaware Pl,41.899,-87.6299,2916,15047
Broadway & Barry Ave,41.9377,-87.6441,4354,15054
State St & Randolph St,41.8847,-87.6277,4306,15099
Green St & Madison St,41.8819,-87.6488,2326,15295
Clark St & Armitage Ave,41.9183,-87.6363,7346,15428
Kingsbury St & Erie St,41.8938,-87.6417,1463,15595
State St & Kinzie St,41.8892,-87.6278,4026,15634
LaSalle St & Illinois St,41.8908,-87.6317,4560,15679
Franklin St & Jackson Blvd,41.8777,-87.6353,3071,15745
Damen Ave & Pierce Ave,41.9094,-87.6777,4850,16458
Michigan Ave & Lake St,41.886,-87.6241,6075,16679
Dearborn St & Monroe St,41.8813,-87.6295,2360,16888
Desplaines St & Kinzie St,41.8887,-87.6444,2167,16989
Morgan St & Lake St,41.8855,-87.6523,2972,17030
Ashland Ave & Division St,41.9035,-87.6677,3289,17107
Wabash Ave & Grand Ave,41.8915,-87.6268,7560,17144
Theater on the Lake,41.9263,-87.6308,19179,17407
Wells St & Hubbard St,41.8899,-87.6343,2822,17791
Wabash Ave & Roosevelt Rd,41.8672,-87.626,3976,18143
Wells St & Concord Ln,41.9121,-87.6347,4025,18829
Orleans St & Merchandise Mart Plaza,41.8882,-87.6364,1695,18843
Lake Shore Dr & North Blvd,41.9117,-87.6268,23474,19400
Columbus Dr & Randolph St,41.8847,-87.6195,4929,19419
Wells St & Huron St,41.8947,-87.6344,2733,19686
St. Clair St & Erie St,41.8944,-87.6227,5100,20683
Dearborn St & Erie St,41.894,-87.6293,4183,21079
LaSalle St & Jackson Blvd,41.8782,-87.6319,1597,21791
Clinton St & Lake St,41.8856,-87.6418,1765,21892
Larrabee St & Kingsbury St,41.8978,-87.6429,1589,22006
Clark St & Elm St,41.903,-87.6313,4467,23419
Canal St & Madison St,41.8821,-87.6398,2308,25089
Michigan Ave & Washington St,41.884,-87.6247,12541,27591
Franklin St & Monroe St,41.8803,-87.6352,2863,27637
Kingsbury St & Kinzie St,41.8892,-87.6385,2336,30370
Daley Center Plaza,41.8842,-87.6296,2568,30819
Clinton St & Madison St,41.8822,-87.6411,3021,44236
Clinton St & Washington Blvd,41.8834,-87.6412,2518,47596
Canal St & Adams St,41.8793,-87.6399,2867,48792
