,member_casual_x,date,count,member_casual_y,mean,member_casual,sum
238,casual,2019-05-30,2762,member,1018.1806203271893,casual,8784695.0
239,casual,2019-05-30,2762,member,1018.1806203271893,member,13754602.0
240,casual,2019-05-31,5110,casual,2990.6262230919765,casual,15282100.0
241,casual,2019-05-31,5110,casual,2990.6262230919765,member,12524074.0
242,casual,2019-05-31,5110,member,891.0126636311895,casual,15282100.0
243,casual,2019-05-31,5110,member,891.0126636311895,member,12524074.0
244,casual,2019-06-01,3871,casual,2798.3761301989152,casual,10832514.0
245,casual,2019-06-01,3871,casual,2798.3761301989152,member,6676461.0
246,casual,2019-06-01,3871,member,899.6713380945964,casual,10832514.0
247,casual,2019-06-01,3871,member,899.6713380945964,member,6676461.0
248,casual,2019-06-02,7030,casual,2910.8799431009957,casual,20463486.0
249,casual,2019-06-02,7030,casual,2910.8799431009957,member,9160387.0
250,casual,2019-06-02,7030,member,1001.9016734113529,casual,20463486.0
251,casual,2019-06-02,7030,member,1001.9016734113529,member,9160387.0
252,casual,2019-06-03,2848,casual,2301.642907303371,casual,6555079.0
253,casual,2019-06-03,2848,casual,2301.642907303371,member,13294808.0
254,casual,2019-06-03,2848,member,1063.414493681011,casual,6555079.0
255,casual,2019-06-03,2848,member,1063.414493681011,member,13294808.0
256,casual,2019-06-04,2672,casual,3799.5138473053894,casual,10152301.0
257,casual,2019-06-04,2672,casual,3799.5138473053894,member,10887253.0
258,casual,2019-06-04,2672,member,824.4171588671816,casual,10152301.0
259,casual,2019-06-04,2672,member,824.4171588671816,member,10887253.0
260,casual,2019-06-05,3187,casual,3037.067775337308,casual,9679135.0
261,casual,2019-06-05,3187,casual,3037.067775337308,member,11827614.0
262,casual,2019-06-05,3187,member,868.5917602996254,casual,9679135.0
263,casual,2019-06-05,3187,member,868.5917602996254,member,11827614.0
264,casual,2019-06-06,2811,casual,2409.779082177161,casual,6773889.0
265,casual,2019-06-06,2811,casual,2409.779082177161,member,11289343.0
266,casual,2019-06-06,2811,member,806.7850353748303,casual,6773889.0
267,casual,2019-06-06,2811,member,806.7850353748303,member,11289343.0
268,casual,2019-06-07,4552,casual,2692.1759666080843,casual,12254785.0
269,casual,2019-06-07,4552,casual,2692.1759666080843,member,11732179.0
270,casual,2019-06-07,4552,member,847.1499025200376,casual,12254785.0
271,casual,2019-06-07,4552,member,847.1499025200376,member,11732179.0
272,casual,2019-06-08,8613,casual,2743.056078021595,casual,23625942.0
273,casual,2019-06-08,8613,casual,2743.056078021595,member,10260813.0
274,casual,2019-06-08,8613,member,1010.618831872353,casual,23625942.0
275,casual,2019-06-08,8613,member,1010.618831872353,member,10260813.0
276,casual,2019-06-09,3366,casual,2478.3826500297087,casual,8342236.0
277,casual,2019-06-09,3366,casual,2478.3826500297087,member,5295084.0
278,casual,2019-06-09,3366,member,844.2417091836735,casual,8342236.0
279,casual,2019-06-09,3366,member,844.2417091836735,member,5295084.0
280,casual,2019-06-10,3716,casual,2539.0069967707213,casual,9434950.0
281,casual,2019-06-10,3716,casual,2539.0069967707213,member,11751015.0
282,casual,2019-06-10,3716,member,843.8789946140035,casual,9434950.0
283,casual,2019-06-10,3716,member,843.8789946140035,member,11751015.0
284,casual,2019-06-11,3939,casual,2709.0665143437423,casual,10671013.0
285,casual,2019-06-11,3939,casual,2709.0665143437423,member,12810865.0
286,casual,2019-06-11,3939,member,847.5597088984453,casual,10671013.0
287,casual,2019-06-11,3939,member,847.5597088984453,member,12810865.0
288,casual,2019-06-12,1204,casual,1969.2566445182724,casual,2370985.0
289,casual,2019-06-12,1204,casual,1969.2566445182724,member,7870240.0
290,casual,2019-06-12,1204,member,748.0505655355955,casual,2370985.0
291,casual,2019-06-12,1204,member,748.0505655355955,member,7870240.0
292,casual,2019-06-13,2541,casual,2362.3026367571824,casual,6002611.0
293,casual,2019-06-13,2541,casual,2362.3026367571824,member,9801988.0
294,casual,2019-06-13,2541,member,798.597686165879,casual,6002611.0
295,casual,2019-06-13,2541,member,798.597686165879,member,9801988.0
296,casual,2019-06-14,5272,casual,2529.648330804249,casual,13336306.0
297,casual,2019-06-14,5272,casual,2529.648330804249,member,11679817.0
298,casual,2019-06-14,5272,member,854.9752580338189,casual,13336306.0
299,casual,2019-06-14,5272,member,854.9752580338189,member,11679817.0
300,casual,2019-06-15,2720,casual,3254.3033088235293,casual,8851705.0
301,casual,2019-06-15,2720,casual,3254.3033088235293,member,4347994.0
302,casual,2019-06-15,2720,member,877.319209039548,casual,8851705.0
303,casual,2019-06-15,2720,member,877.319209039548,member,4347994.0
304,casual,2019-06-16,3312,casual,2649.4221014492755,casual,8774886.0
305,casual,2019-06-16,3312,casual,2649.4221014492755,member,5283281.0
306,casual,2019-06-16,3312,member,852.417070022588,casual,8774886.0
307,casual,2019-06-16,3312,member,852.417070022588,member,5283281.0
308,casual,2019-06-17,2523,casual,3042.588585017836,casual,7676451.0
309,casual,2019-06-17,2523,casual,3042.588585017836,member,9808823.0
310,casual,2019-06-17,2523,member,768.7165360501567,casual,7676451.0
311,casual,2019-06-17,2523,member,768.7165360501567,member,9808823.0
312,casual,2019-06-18,3634,casual,2991.6073197578426,casual,10871501.0
313,casual,2019-06-18,3634,casual,2991.6073197578426,member,11486725.0
314,casual,2019-06-18,3634,member,836.980836490819,casual,10871501.0
315,casual,2019-06-18,3634,member,836.980836490819,member,11486725.0
316,casual,2019-06-19,1789,casual,2107.5695919508107,casual,3770442.0
317,casual,2019-06-19,1789,casual,2107.5695919508107,member,9629469.0
318,casual,2019-06-19,1789,member,795.4951672862453,casual,3770442.0
319,casual,2019-06-19,1789,member,795.4951672862453,member,9629469.0
320,casual,2019-06-20,2373,casual,3192.7606405394017,casual,7576421.0
321,casual,2019-06-20,2373,casual,3192.7606405394017,member,8597512.0
322,casual,2019-06-20,2373,member,775.9487364620938,casual,7576421.0
323,casual,2019-06-20,2373,member,775.9487364620938,member,8597512.0
324,casual,2019-06-21,4677,casual,3352.2296343810135,casual,15678378.0
325,casual,2019-06-21,4677,casual,3352.2296343810135,member,11588300.0
326,casual,2019-06-21,4677,member,873.7973156386669,casual,15678378.0
327,casual,2019-06-21,4677,member,873.7973156386669,member,11588300.0
328,casual,2019-06-22,9932,casual,2793.5579943616594,casual,27745618.0
329,casual,2019-06-22,9932,casual,2793.5579943616594,member,9487009.0
330,casual,2019-06-22,9932,member,947.847836946748,casual,27745618.0
331,casual,2019-06-22,9932,member,947.847836946748,member,9487009.0
332,casual,2019-06-23,4731,casual,2652.827520608751,casual,12550527.0
333,casual,2019-06-23,4731,casual,2652.827520608751,member,5705159.0
