station_name,count
MLK Jr Dr & 29th St,15092
Halsted St & Willow St,15069
Shore Dr & 55th St,14989
Clark St & Berwyn Ave,14623
Carpenter St & Huron St,14491
Halsted St & Maxwell St,14149
Franklin St & Adams St (Temp),13889
Wells St & Walton St,13870
Paulina Ave & North Ave,13770
Southport Ave & Wrightwood Ave,13753
Clinton St & Tilden St,13711
900 W Harrison St,13710
Lincoln Ave & Belmont Ave,13672
Ashland Ave & Blackhawk St,13572
Halsted St & Roosevelt Rd,13570
LaSalle St & Adams St,13285
Cannon Dr & Fullerton Ave,13205
State St & 33rd St,13168
Noble St & Milwaukee Ave,12920
Blue Island Ave & 18th St,12914
Eckhart Park,12874
Clinton St & Jackson Blvd (*),12620
Delano Ct & Roosevelt Rd,12543
Western Ave & Walton St,12520
Lakefront Trail & Wilson Ave,12508
Damen Ave & Thomas St (Augusta Blvd),12475
Racine Ave & Congress Pkwy,12444
Cornell Ave & Hyde Park Blvd,12288
Clinton St & Roosevelt Rd,12260
Clybourn Ave & Division St,12145
Buckingham Fountain,11991
Orleans St & Hubbard St,11787
Southport Ave & Belmont Ave,11786
Racine Ave & Randolph St,11733
Wood St & Taylor St,11727
Sangamon St & Washington Blvd,11675
Ellis Ave & 58th St,11446
Ashland Ave & Chicago Ave,11438
Financial Pl & Ida B Wells Dr,11367
Southport Ave & Irving Park Rd,11251
Broadway & Berwyn Ave,11233
Western Ave & Leland Ave,11220
Clark St & Leland Ave,11178
Clarendon Ave & Junior Ter,11173
Paulina St & Flournoy St,11114
Damen Ave & Leland Ave,11094
Lake Park Ave & 56th St,11085
Broadway & Argyle St,11076
Artesian Ave & Hubbard St,10964
McCormick Place,10892
Racine Ave & Wrightwood Ave,10843
Franklin St & Chicago Ave (Temp),10786
Wood St & Augusta Blvd,10751
Ashland Ave & Wrightwood Ave,10716
Marine Dr & Ainslie St,10669
Benson Ave & Church St,10607
Franklin St & Illinois St,10584
Wood St & Chicago Ave (*),10551
Ashland Ave & Augusta Blvd,10418
Leavitt St & North Ave,10375
Larrabee St & Menomonee St,10200
Racine Ave & 18th St,10043
Fairbanks St & Superior St,9900
Hermitage Ave & Polk St,9602
Dearborn St & Van Buren St,9475
Damen Ave & Grand Ave,9432
Lincoln Ave & Sunnyside Ave,9402
Ashland Ave & Grace St,9386
Halsted St & Clybourn Ave (*),9311
Ashland Ave & Grand Ave,9285
Broadway & Thorndale Ave,9226
Sheridan Rd & Buena Ave,9169
Ravenswood Ave & Irving Park Rd,9166
Broadway & Granville Ave,9156
Campbell Ave & North Ave,9070
Broadway & Ridge Ave,8997
Western Ave & Division St,8927
Clark St & 9th St (AMLI),8844
Racine Ave & Washington Blvd (*),8813
Morgan St & 18th St,8795
Clark St & Montrose Ave,8794
Damen Ave & Charleston St,8740
Wentworth Ave & Cermak Rd (Temp),8704
Greenview Ave & Diversey Pkwy,8704
Clark St & Bryn Mawr Ave,8696
Lincoln Ave & Belle Plaine Ave,8685
Logan Blvd & Elston Ave,8662
Ellis Ave & 53rd St,8657
Lincoln Ave & Waveland Ave,8652
Lake Park Ave & 53rd St,8623
California Ave & Cortez St,8576
Buckingham Fountain (Temp),8527
Winthrop Ave & Lawrence Ave,8470
Morgan Ave & 14th Pl,8456
Woodlawn Ave & 55th St,8386
Loomis St & Jackson Blvd,8375
Calumet Ave & 21st St,8215
Elizabeth (May) St & Fulton St,8185
Lincoln Park Conservatory,8142
Throop (Loomis) St & Taylor St,8136
Ashland Ave & Lake St,8059
Wood St & Hubbard St,8053
Larrabee St & North Ave,7997
Sedgwick St & Schiller St,7863
Leavitt St & Chicago Ave,7850
Humboldt Blvd & Armitage Ave,7822
Ashland Ave & Wellington Ave,7799
Sheridan Rd & Loyola Ave,7776
Kedzie Ave & Palmer Ct,7755
Albany Ave & Bloomingdale Ave,7755
Leavitt St & Armitage Ave,7741
Damen Ave & Foster Ave,7544
Seeley Ave & Roscoe St,7459
Sheridan Rd & Lawrence Ave,7310
Museum of Science and Industry,7296
Paulina St & 18th St,7272
Damen Ave & Wellington Ave,7225
Damen Ave & Clybourn Ave,7220
Spaulding Ave & Armitage Ave,7188
Franklin St & Quincy St,7129
Clarendon Ave & Leland Ave,7100
Emerald Ave & 31st St,7014
Blackstone Ave & Hyde Park Blvd,6867
Walsh Park,6792
California Ave & North Ave,6656
Milwaukee Ave & Rockwell St,6629
Canal St & Monroe St (*),6619
Claremont Ave & Hirsch St,6565
Harper Ave & 59th St,6487
Canal St & Harrison St,6468
Wabash Ave & Cermak Rd,6340
Orleans St & Elm St,6326
Sheridan Rd & Noyes St (NU),6255
Calumet Ave & 33rd St,6206
Winchester Ave & Elston Ave,6098
Clark St & Lunt Ave,6023
Indiana Ave & 31st St,5978
Glenwood Ave & Morse Ave,5950
Western Ave & Fillmore St (*),5749
Wolcott (Ravenswood) Ave & Montrose Ave,5707
Chicago Ave & Washington St,5688
Ravenswood Ave & Berteau Ave,5682
