member_casual,day_of_week,trip_duration
casual,Friday,7939448.0
casual,Monday,7247750.0
casual,Saturday,8116785.0
casual,Sunday,8636205.0
casual,Thursday,9387024.0
casual,Tuesday,7522062.0
casual,Wednesday,7606872.0
member,Friday,4840301.0
member,Monday,8203638.0
member,Saturday,4805491.0
member,Sunday,2910776.0
member,Thursday,6028602.0
member,Tuesday,9056634.0
member,Wednesday,5628779.0
