start_station_name,start_lat,start_lng,member_casual,count
Buckingham Fountain,41.8765,-87.6205,casual,3951
Buckingham Fountain,41.8765,-87.6205,member,2732
Budlong Woods Library,41.9837,-87.6964,casual,202
Budlong Woods Library,41.9837,-87.6964,member,314
Burling St (Halsted) & Diversey Pkwy (Temp),41.9331,-87.6478,casual,1357
Burling St (Halsted) & Diversey Pkwy (Temp),41.9331,-87.6478,member,8491
Burnham Harbor,41.8563,-87.6133,casual,3444
Burnham Harbor,41.8563,-87.6133,member,7661
California Ave & 21st St,41.8538,-87.6957,casual,179
California Ave & 21st St,41.8538,-87.6957,member,691
California Ave & 23rd Pl,41.8491,-87.6951,casual,85
California Ave & 23rd Pl,41.8491,-87.6951,member,809
California Ave & 26th St,41.844,-87.6953,casual,46
California Ave & 26th St,41.844,-87.6953,member,121
California Ave & Altgeld St,41.9267,-87.6977,casual,448
California Ave & Altgeld St,41.9267,-87.6977,member,2097
California Ave & Byron St,41.9522,-87.6981,casual,388
California Ave & Byron St,41.9522,-87.6981,member,786
California Ave & Cortez St,41.9004,-87.6967,casual,671
California Ave & Cortez St,41.9004,-87.6967,member,3565
California Ave & Division St,41.903,-87.6975,casual,631
California Ave & Division St,41.903,-87.6975,member,1553
California Ave & Fletcher St,41.9384,-87.698,casual,537
California Ave & Fletcher St,41.9384,-87.698,member,1230
California Ave & Francis Pl (Temp),41.9185,-87.6974,casual,96
California Ave & Francis Pl (Temp),41.9185,-87.6974,member,755
California Ave & Lake St,41.8845,-87.6963,casual,115
California Ave & Lake St,41.8845,-87.6963,member,650
California Ave & Milwaukee Ave,41.9227,-87.6972,casual,1903
California Ave & Milwaukee Ave,41.9227,-87.6972,member,7170
California Ave & Montrose Ave,41.9611,-87.6954,casual,514
California Ave & Montrose Ave,41.9611,-87.6954,member,1352
California Ave & North Ave,41.9104,-87.6972,casual,592
California Ave & North Ave,41.9104,-87.6972,member,2679
Calumet Ave & 18th St,41.8576,-87.6194,casual,2375
Calumet Ave & 18th St,41.8576,-87.6194,member,5567
Calumet Ave & 21st St,41.8542,-87.6192,casual,2038
Calumet Ave & 21st St,41.8542,-87.6192,member,1940
Calumet Ave & 33rd St,41.8349,-87.6179,casual,309
Calumet Ave & 33rd St,41.8349,-87.6179,member,2801
Calumet Ave & 35th St,41.8314,-87.618,casual,227
Calumet Ave & 35th St,41.8314,-87.618,member,772
Calumet Ave & 51st St,41.8023,-87.6181,casual,187
Calumet Ave & 51st St,41.8023,-87.6181,member,491
Calumet Ave & 71st St,41.7655,-87.6169,casual,28
Calumet Ave & 71st St,41.7655,-87.6169,member,5
Campbell Ave & Fullerton Ave,41.9246,-87.6893,casual,509
Campbell Ave & Fullerton Ave,41.9246,-87.6893,member,2060
Campbell Ave & Montrose Ave,41.9615,-87.6912,casual,209
Campbell Ave & Montrose Ave,41.9615,-87.6912,member,2233
Campbell Ave & North Ave,41.9105,-87.6896,casual,829
Campbell Ave & North Ave,41.9105,-87.6896,member,3668
Canal St & Adams St,41.8793,-87.6399,casual,3912
Canal St & Adams St,41.8793,-87.6399,member,51901
Canal St & Harrison St,41.8743,-87.6396,casual,289
Canal St & Harrison St,41.8743,-87.6396,member,3110
Canal St & Jackson Blvd,41.8772,-87.6394,casual,1278
Canal St & Jackson Blvd,41.8772,-87.6394,member,9336
Canal St & Madison St,41.8821,-87.6398,casual,2724
Canal St & Madison St,41.8821,-87.6398,member,26154
Canal St & Monroe St,41.8817,-87.6395,casual,1039
Canal St & Monroe St,41.8817,-87.6395,member,11359
Canal St & Taylor St,41.8703,-87.6395,casual,1436
Canal St & Taylor St,41.8703,-87.6395,member,6291
