member_casual,day_of_week,trip_duration
casual,Friday,461932029.0
casual,Monday,348344565.0
casual,Saturday,698178818.0
casual,Sunday,649281773.0
casual,Thursday,378164646.0
casual,Tuesday,325505776.0
casual,Wednesday,343815491.0
member,Friday,373328281.0
member,Monday,397848343.0
member,Saturday,279005527.0
member,Sunday,246510525.0
member,Thursday,398914445.0
member,Tuesday,420037561.0
member,Wednesday,412259481.0
